ID,Title,Description,Status,Urgency,DeviceID,DeviceImage,ResolutionSignatureImage,customer_ID,serviceWorker_ID
30001,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,A1B2C3D4E5F6,,,1001,101
30002,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,101
30003,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,101
30004,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,ABCDEF123456,,,1001,102
30005,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,102
30006,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,102
30007,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,GHIJKL789012,,,1001,103
30008,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,103
30009,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,103
30010,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,MNOPQR345678,,,1001,104
30011,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,104
30012,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,104
30013,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,STUVWX901234,,,1001,105
30014,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,105
30015,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,105
30016,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,YZ0123456789,,,1001,106
30017,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,106
30018,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,106
30019,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,AABBCCDDEEFF,,,1001,107
30020,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,107
30021,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,107
30022,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,GGHHIIJJKKLL,,,1001,108
30023,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,108
30024,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,108
30025,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,MMNNOOPPQQRR,,,1001,109
30026,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,109
30027,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,109
30028,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,SSSSTTTTUUVV,,,1001,110
30029,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,110
30030,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,110
30031,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,WWXXYYZZ0011,,,1001,111
30032,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,111
30033,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,111
30034,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,T23344556677,,,1001,112
30035,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,112
30036,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,112
30037,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,889900AABBCC,,,1001,113
30038,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,113
30039,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,113
30040,Computer Not Booting,Customer reports that their computer is not booting up.,Closed,Medium,DDEEFFGGHHII,,,1001,114
30041,TV Display Issue,Customer complains about a display issue with their TV.,In Process,High,,,,1002,114
30042,Printer Connectivity Problem,Customer is experiencing issues with their printer's connectivity.,New,Low,,,,1003,114
